,,,,,,,,,,,,,,,,,,,,,,ListofBrooklynBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,STSUFX2,,,COUNTY,,,CITY,,,,STATUS1,,,STATUS2,,,,,,STATUS3,,BLOCK,,,,LOT,,
11201,,,284,,,,ATLANTIC,,,,,AVE,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,181,,,,22,,

11201,,,288,,,,ATLANTIC,,,,,AVE,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,181,,,,24,,

11201,,,302,,,,ATLANTIC,,,,,AVE,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,182,,,,6,,

11201,,,304 TO 306,,,,ATLANTIC,,,,,AVE,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,182,,,,7,,

11201,,,307,,,,ATLANTIC,,,,,AVE,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,176,,,,49,,

11201,,,325 TO 327,,,,ATLANTIC,,,,,AVE,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,176,,,,41,,

11201,,,96,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,309,,,,13,,

11201,,,98,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,309,,,,14,,

11201,,,108,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,309,,,,19,,

11201,,,110,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,309,,,,20,,

11201,,,129 TO 135,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,,305,,,,7501,,

11201,,,134 TO 138,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,,310,,,,3,,

11201,,,151,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,305,,,,34,,

11201,,,203,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,306,,,,29,,

11201,,,311,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,396,,,,53,,

11201,,,319,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,396,,,,51,,

11201,,,362,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,403,,,,23,,

11201,,,366,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGB,,,GARDENCOMPLEX,,,,,,,,403,,,,26,,

11201,,,368,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGB,,,,,,,,,,,403,,,,28,,

11201,,,370,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,403,,,,29,,

11201,,,375,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,397,,,,7505,,

11201,,,377,,,,BALTIC,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,397,,,,7504,,

11201,,,57 TO 59,,,,BERGEN,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,193,,,,35,,

11201,,,65 TO 67,,,,BERGEN,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,193,,,,31,,

11201,,,95,,,,BERGEN,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,194,,,,61,,

11201,,,97,,,,BERGEN,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,194,,,,60,,

11201,,,105,,,,BERGEN,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,194,,,,56,,

11201,,,1 TO 17,,,,BOERUM,,,,,PL,,,,342,,,,FULTON,,,ST,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,421-A (16),,153,,,,3,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page1of 284,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ListofBrooklynBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

